References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,LCSC,Digikey,Mouser,RS,Newark,Farnell
J1,1,"1x09, 2.54mm pitch pin header",Molex,74099-0009,,,,,,,,,,23-0740990009-ND,538740990009,,,3036258
"C2, C1",2,10uF 1206,TDK,C3216JB1E106K160AB,AVX,TAJA106K016RNJ,Samsung Electro-Mechanics,CL31B106KAHNNNE,,,,,C7171,478-1655-1-ND,581TAJA106K016R,1354012,,1432339
"C7, C6, C5, C10",4,100nF 0805,Yageo,CC0805KRX7R9BB104,Murata,GCM21BR71H104KA37L,Murata,GRM21BR71H104KA01L,Guangdong Fenghua Advanced Tech,0805B104K500NT,,,C161260,311-1140-1-ND,603CC805KRX7R9BB104,6698842,,3019949
"C3, C4",2,22pF 0805,KEMET,C0805C220J5GAC,CCTC,TCC0805COG220J500BT,KEMET,C0805C220J5GACTU,,,,,C376875,399-1113-1-ND,80C0805C220J5GAC,2644258P,,1414678
"LD2, LD1",2,led 0805,Everlight,17-21/GHC-XS1T2M/3T,Lumex,SML-LXT0805GW-TR,Everlight,17-21SYGC/S530-E3/TR8,Rohm,SML-210VTT86,,,C63855,67-1553-6-ND,696SMLLXT0805GW,7007893,,2062259
"Q1, Q2, Q3, Q4",4,,MCC,BSS138-TP,,,,,,,,,C435876,BSS138-TPMSCT-ND,833BSS138TP,,,
"R1, R2, R3, R4, R5, R6, R7, R8, R9, R13, R12, R11",12,10k 0805,Vishay,CRCW080510K0FKEA,Panasonic,ERJ-6ENF1002V,Rohm,MCR10EZPJ103,Yageo,RC0805FR-0710KL,Guangdong Fenghua Advanced Tech,RS-05K103JT,C115295,311-10.0KCRCT-ND,603RC0805FR0710KL,1694499,,9237755
R10,1,100 ohm 0805,Vishay,CRCW0805100RFKEA,Panasonic,ERJ-6ENF1000V,Yageo,RC0805FR-07100RL,Guangdong Fenghua Advanced Tech,RS-05K101JT,,,C193990,311-100CRDKR-ND,603RC0805FR07100RL,7326034,,2459312
"R15, R14",2,220 ohm 0805,Yageo,AC0805JR-07220RL,LIZ Elec,CR0805F82200G,Panasonic,ERJ6ENF2200V,,,,,C413269,P220CCT-ND,667ERJ6ENF2200V,7326194,,2303479
U1,1,,,ATmega328P-AU,Microchip,ATMEGA328PB-AU,,,,,,,C132230,ATMEGA328PB-AU-ND,556ATMEGA328PBAU,1468928,,2523203
U2,1,LM1117-3.3 SOT-223-3,"Youtai Semiconductor Co., Ltd.",AMS1117-3.3,Texas Instruments,LM1117MPX-3.3/NOPB,,,,,,,C347222,LM1117MPX-3.3/NOPBDKR-ND,926LM1117MPX3.3NOPB,,,3122024
Y1 or Y2,1,Crystal THT HC-49 U 16Mhz,Murata,CSTNE16M0VH3C000R0,,,,,,,,,,490-17951-1-ND,81CSTNE16M0VH3C000R,,,
J3,1,"1x06, 2.54mm pitch, single row",Molex,90120-0126,,,,,,,,,,WM8076-ND,538901200126,6705039,,2313717
J4,1,"2x03, 2.54mm pitch",Molex,90131-0123,,,,,,,,,,WM50035-06-ND,538901310123,6703443,,2381222
J2,1,,TE Connectivity,3-1634584-2,,,,,,,,,C167327,A118456-ND,571316345842,,,8391360
SW1,1,tactile switch smt,Omron,B3S-1000,C&K Components,PTS840 GMP SMTR LFS,,,,,,,,CKN10513DKR-ND,611PTS840GMPSMTR,183701,,177807
D1,1,Diode SMA (DO-214AC) 1n5817,,1n5817,ON Semiconductor,1N5817RLG,,,,,,,C232461,1N5817RLGOSCT-ND,8631N5817RLG,6254972,,2440587
C8,1,820pF 0805,Walsin Technologies,0805B821K500CT,AVX,08055A821JAT2A,Vishay,VJ0805A821JXAAC,,,,,,478-1327-1-ND,77VJ0805A821JXAAC,1353221,,2896735
C9,1,220pF 0805,Fenghua Electronics,0402B221K500NT,Walsin Technologies,0805B221K500,AVX,08051A221JAT2A,KEMET,C0805C221J5GAC,,,,478-1286-1-ND,80C0805C221J5GAC,1351301,,498609
